number,value,datetime_start,datetime_complete,duration,params_BollingerBands_period,params_BollingerBands_std_dev,params_MACD_fast_period,params_MACD_signal_period,params_MACD_slow_period,params_RSI_period,params_SMA_long_period,params_SMA_short_period,params_position_size,params_stop_loss,params_take_profit,user_attrs_cagr,user_attrs_max_drawdown,user_attrs_total_return,state
47,0.0,2025-11-06 17:41:29.769219,2025-11-06 17:41:29.781259,0 days 00:00:00.012040,16,2.6312325265823677,9,8,23,12,169,16,0.2541632994183155,0.003386351408399943,0.004866411560153963,0.0,0.0,0.0,COMPLETE
48,0.0,2025-11-06 17:41:29.783512,2025-11-06 17:41:29.795450,0 days 00:00:00.011938,21,1.572897670636789,10,11,25,8,180,25,0.533743914789286,0.0014218421934292368,0.03097953632190964,0.0,0.0,0.0,COMPLETE
49,0.0,2025-11-06 17:41:29.797594,2025-11-06 17:41:29.810467,0 days 00:00:00.012873,19,1.9472665873647612,11,9,30,18,159,36,0.916383791559777,0.03612500263815691,0.0085629848840589,0.0,0.0,0.0,COMPLETE
50,0.0,2025-11-06 17:41:29.812955,2025-11-06 17:41:29.825683,0 days 00:00:00.012728,12,1.8688614665464167,14,12,24,9,114,29,0.10157408753066528,0.0047545350395065055,0.004190915964684869,0.0,0.0,0.0,COMPLETE
51,0.0,2025-11-06 17:41:29.828470,2025-11-06 17:41:29.840745,0 days 00:00:00.012275,30,2.988888706440334,9,10,20,8,170,5,0.7897704505237717,0.016301036913863972,0.015065200876885159,0.0,0.0,0.0,COMPLETE
52,0.0,2025-11-06 17:41:29.843416,2025-11-06 17:41:29.855171,0 days 00:00:00.011755,27,2.8249072562511826,8,10,21,10,165,9,0.6289858765517533,0.009794951477407731,0.026290357622167422,0.0,0.0,0.0,COMPLETE
53,0.0,2025-11-06 17:41:29.857482,2025-11-06 17:41:29.870294,0 days 00:00:00.012812,26,2.690489410133181,10,12,20,20,175,13,0.7076383200382621,0.02956628507584488,0.012324504806617773,0.0,0.0,0.0,COMPLETE
54,0.0,2025-11-06 17:41:29.872801,2025-11-06 17:41:29.885151,0 days 00:00:00.012350,28,1.6805523913341311,9,11,26,9,193,17,0.9473584377135481,0.006328643017056166,0.017384708006472436,0.0,0.0,0.0,COMPLETE
55,0.0,2025-11-06 17:41:29.887518,2025-11-06 17:41:29.900477,0 days 00:00:00.012959,29,2.808073880845517,8,11,21,13,73,20,0.13397474381370017,0.009116682834306899,0.02553435785617358,0.0,0.0,0.0,COMPLETE
56,0.0,2025-11-06 17:41:29.902712,2025-11-06 17:41:29.915445,0 days 00:00:00.012733,23,2.0504339166231738,16,7,28,14,184,10,0.8083052046431054,0.01284544880768109,0.006943754482252086,0.0,0.0,0.0,COMPLETE
57,0.0,2025-11-06 17:41:29.918112,2025-11-06 17:41:29.930767,0 days 00:00:00.012655,17,2.3883723649889204,13,8,21,11,127,7,0.8935782207841516,0.021740455547673735,0.001004966410757389,0.0,0.0,0.0,COMPLETE
58,0.0,2025-11-06 17:41:29.932948,2025-11-06 17:41:29.945793,0 days 00:00:00.012845,25,2.1689669644327463,12,10,22,7,20,14,0.23324150223412612,0.0038526459379550665,0.011122908962059147,0.0,0.0,0.0,COMPLETE
59,0.0,2025-11-06 17:41:29.948407,2025-11-06 17:41:29.961143,0 days 00:00:00.012736,27,2.5060173271597206,10,9,20,16,102,39,0.18617722482490578,0.011336425200826792,0.01938800762974986,0.0,0.0,0.0,COMPLETE
60,0.0,2025-11-06 17:41:29.963526,2025-11-06 17:41:29.975696,0 days 00:00:00.012170,22,1.8258031270354547,11,12,25,21,140,23,0.16393961322313866,0.008634453919156583,0.014917181911705941,0.0,0.0,0.0,COMPLETE
61,0.0,2025-11-06 17:41:29.978075,2025-11-06 17:41:29.990246,0 days 00:00:00.012171,29,2.5841692564991963,9,8,20,8,89,7,0.6429492336040241,0.007334855873397633,0.024391682610484418,0.0,0.0,0.0,COMPLETE
62,0.0,2025-11-06 17:41:29.992699,2025-11-06 17:41:30.006585,0 days 00:00:00.013886,28,2.2892660995016065,10,7,22,10,84,33,0.6706444754444352,0.0030842071457064077,0.009831937816302467,0.0,0.0,0.0,COMPLETE
63,0.0,2025-11-06 17:41:30.008961,2025-11-06 17:41:30.021553,0 days 00:00:00.012592,30,2.7130171906612253,10,8,21,8,62,11,0.517219822540129,0.005608086957101474,0.03173210777288596,0.0,0.0,0.0,COMPLETE
64,0.0,2025-11-06 17:41:30.024219,2025-11-06 17:41:30.037384,0 days 00:00:00.013165,28,2.373639220706592,9,7,20,12,149,18,0.5841296070596396,0.0036113527277645482,0.014982890776269247,0.0,0.0,0.0,COMPLETE
65,0.0,2025-11-06 17:41:30.039776,2025-11-06 17:41:30.052911,0 days 00:00:00.013135,26,1.7481750708550559,11,9,24,9,73,48,0.7410765400239269,0.004898781944285084,0.003177126743743902,0.0,0.0,0.0,COMPLETE
66,0.0,2025-11-06 17:41:30.055124,2025-11-06 17:41:30.068489,0 days 00:00:00.013365,29,2.4414948638024483,12,7,26,13,108,13,0.8276217323450833,0.01038923390062715,0.001479653792463548,0.0,0.0,0.0,COMPLETE
67,0.0,2025-11-06 17:41:30.071379,2025-11-06 17:41:30.084390,0 days 00:00:00.013011,19,1.5364453493789803,9,8,21,7,187,44,0.7531883868633668,0.0026509587081378744,0.03760188285117221,0.0,0.0,0.0,COMPLETE
68,0.0,2025-11-06 17:41:30.086818,2025-11-06 17:41:30.099105,0 days 00:00:00.012287,15,1.653619639979375,13,9,29,11,194,21,0.5832605291842476,0.004264446120414383,0.002651836368603982,0.0,0.0,0.0,COMPLETE
69,0.0,2025-11-06 17:41:30.101286,2025-11-06 17:41:30.114024,0 days 00:00:00.012738,12,2.2600318014563077,15,7,20,19,180,15,0.6755581086516388,0.0017477406151364002,0.013300747542153917,0.0,0.0,0.0,COMPLETE
70,0.0,2025-11-06 17:41:30.116364,2025-11-06 17:41:30.129390,0 days 00:00:00.013026,20,2.1307214582172826,10,8,23,15,172,50,0.9512320589537491,0.015616868155486473,0.0075080633603598875,0.0,0.0,0.0,COMPLETE
71,0.0,2025-11-06 17:41:30.131863,2025-11-06 17:41:30.144025,0 days 00:00:00.012162,24,2.7080928013019414,14,9,28,8,117,49,0.1358014801669511,0.012688987995595917,0.0022379785580645397,0.0,0.0,0.0,COMPLETE
72,0.0,2025-11-06 17:41:30.146274,2025-11-06 17:41:30.158358,0 days 00:00:00.012084,25,2.636954932866253,14,9,27,17,104,47,0.19370849076558613,0.006074337029595622,0.0018690388316773472,0.0,0.0,0.0,COMPLETE
73,0.0,2025-11-06 17:41:30.160945,2025-11-06 17:41:30.173545,0 days 00:00:00.012600,23,2.8912284484677864,13,10,29,7,89,41,0.12334861448107899,0.007635856177997914,0.0013771373381014046,0.0,0.0,0.0,COMPLETE
74,0.0,2025-11-06 17:41:30.176239,2025-11-06 17:41:30.189086,0 days 00:00:00.012847,26,2.490537843115767,12,9,30,10,97,44,0.16470593540856554,0.019548430422098504,0.022523205887474095,0.0,0.0,0.0,COMPLETE
75,0.0,2025-11-06 17:41:30.191367,2025-11-06 17:41:30.203793,0 days 00:00:00.012426,21,2.548097457522383,14,7,25,8,156,46,0.20915614763236356,0.009308814978661683,0.01867897549079351,0.0,0.0,0.0,COMPLETE
76,0.0,2025-11-06 17:41:30.206138,2025-11-06 17:41:30.219634,0 days 00:00:00.013496,24,2.766424358846334,13,11,27,9,131,19,0.3348946941174421,0.0080398633247788,0.009300485174725844,0.0,0.0,0.0,COMPLETE
77,0.0,2025-11-06 17:41:30.222461,2025-11-06 17:41:30.235125,0 days 00:00:00.012664,27,1.785795444037375,8,10,29,9,76,27,0.10086290492049432,0.0068991816030441015,0.04432122444122073,0.0,0.0,0.0,COMPLETE
78,0.0,2025-11-06 17:41:30.237208,2025-11-06 17:41:30.250159,0 days 00:00:00.012951,22,1.7089050037787517,10,8,26,10,64,11,0.2569905131761865,0.041687308239952404,0.016502790324135336,0.0,0.0,0.0,COMPLETE
79,0.0,2025-11-06 17:41:30.252597,2025-11-06 17:41:30.264913,0 days 00:00:00.012316,14,1.918585045679619,9,11,28,18,196,9,0.483899356765758,0.0024003383176813453,0.011518445855595229,0.0,0.0,0.0,COMPLETE
80,0.0,2025-11-06 17:41:30.267234,2025-11-06 17:41:30.280254,0 days 00:00:00.013020,11,2.605252288818823,8,12,24,12,89,38,0.8730624644199678,0.011698698196975322,0.005416699415407328,0.0,0.0,0.0,COMPLETE
